day,total_healthy,total_infected,total_incubating,total_deceased,total_healed,infected_today,deceased_today,recovered_today
0,9998,1,1,0,0,1,0,0
1,9997,1,2,0,0,1,0,0
2,9997,1,2,0,0,0,0,0
3,9997,2,1,0,0,0,0,0
4,9997,3,0,0,0,0,0,0
5,9993,3,4,0,0,4,0,0
6,9991,3,6,0,0,2,0,0
7,9991,3,6,0,0,0,0,0
8,9990,7,3,0,0,1,0,0
9,9987,9,4,0,0,3,0,0
10,9983,9,8,0,0,4,0,0
11,9982,10,8,0,0,1,0,0
12,9981,12,6,0,1,1,0,1
13,9980,16,3,0,1,1,0,0
14,9975,16,7,1,1,5,1,0
15,9969,17,12,1,1,6,0,0
16,9962,16,18,2,2,7,1,1
17,9960,19,15,3,3,2,1,1
18,9954,25,15,3,3,6,0,0
19,9943,32,19,3,3,11,0,0
20,9933,34,27,3,3,10,0,0
21,9925,36,29,4,6,8,1,3
22,9920,44,23,5,8,5,1,2
23,9902,52,31,7,8,18,2,0
24,9871,57,54,9,9,31,2,1
25,9855,60,65,10,10,16,1,1
26,9838,76,64,10,12,17,0,2
27,9813,105,58,12,12,25,2,0
28,9787,119,68,13,13,26,1,1
29,9754,133,84,15,14,33,2,1
30,9726,150,87,19,18,28,4,4
31,9681,170,106,21,22,45,2,4
32,9639,194,115,24,28,42,3,6
33,9578,218,148,27,29,61,3,1
34,9519,256,162,29,34,59,2,5
35,9463,286,176,33,42,56,4,8
36,9374,336,204,36,50,89,3,8
37,9299,382,220,41,58,75,5,8
38,9208,423,255,51,63,91,10,5
39,9094,490,280,58,78,114,7,15
40,8972,536,327,64,101,122,6,23
41,8842,602,366,75,115,130,11,14
42,8685,696,409,83,127,157,8,12
43,8521,786,451,93,149,164,10,22
44,8329,885,513,103,170,192,10,21
45,8130,1008,555,111,196,199,8,26
46,7890,1137,631,123,219,240,12,23
47,7658,1272,671,144,255,232,21,36
48,7385,1419,745,162,289,273,18,34
49,7097,1586,793,188,336,288,26,47
50,6800,1749,858,210,383,297,22,47
51,6452,1954,933,230,431,348,20,48
52,6098,2138,999,260,505,354,30,74
53,5715,2329,1085,302,569,383,42,64
54,5332,2553,1120,342,653,383,40,84
55,4892,2775,1206,378,749,440,36,96
56,4459,3011,1256,426,848,433,48,99
57,3987,3252,1345,471,945,472,45,97
58,3565,3530,1327,510,1068,422,39,123
59,3146,3783,1313,558,1200,419,48,132
60,2751,4045,1236,614,1354,395,56,154
61,2365,4248,1200,672,1515,386,58,161
62,2005,4406,1141,733,1715,360,61,200
63,1693,4548,1058,791,1910,312,58,195
64,1399,4630,966,875,2130,294,84,220
65,1149,4669,856,948,2378,250,73,248
66,942,4678,751,1012,2617,207,64,239
67,770,4603,629,1097,2901,172,85,284
68,615,4477,534,1170,3204,155,73,303
69,480,4296,462,1246,3516,135,76,312
70,370,4094,400,1304,3832,110,58,316
71,288,3832,327,1361,4192,82,57,360
72,224,3558,256,1426,4536,64,65,344
73,176,3217,194,1502,4911,48,76,375
74,136,2916,152,1546,5250,40,44,339
75,101,2602,123,1586,5588,35,40,338
76,75,2300,101,1620,5904,26,34,316
77,65,1975,71,1657,6232,10,37,328
78,49,1688,52,1682,6529,16,25,297
79,36,1433,39,1708,6784,13,26,255
80,26,1182,39,1727,7026,10,19,242
81,21,969,28,1746,7236,5,19,210
82,19,794,17,1759,7411,2,13,175
